λ,μ,Servers,AvgWaitTime,AvgSystemTime,Utilization
0.5,1,1,1.167,2.1735,0.5049
0.5,1.5,1,0.3073,0.9718,0.3307
0.5,2,1,0.1756,0.6844,0.2528
0.5,2.5,1,0.0989,0.4941,0.197
0.5,3,1,0.0654,0.4055,0.1723
0.5,3.5,1,0.0474,0.3323,0.1418
0.5,4,1,0.0342,0.2819,0.1264
0.5,4.5,1,0.0273,0.2521,0.1137
0.5,5,1,0.0223,0.2168,0.0977
0.5,1,2,0.064,1.064,0.2506
0.5,1.5,2,0.0158,0.672,0.1599
0.5,2,2,0.0088,0.5008,0.1231
0.5,2.5,2,0.0047,0.3977,0.1006
0.5,3,2,0.0018,0.3372,0.0847
0.5,3.5,2,0.002,0.2822,0.0705
0.5,4,2,0.0009,0.2466,0.0591
0.5,4.5,2,0.0009,0.2184,0.0541
0.5,5,2,0.0002,0.1979,0.0501
0.5,1,3,0.0057,1.0148,0.1712
0.5,1.5,3,0.0022,0.6691,0.1118
0.5,2,3,0.0003,0.4994,0.0842
0.5,2.5,3,0,0.4013,0.0669
0.5,3,3,0.0001,0.3384,0.0576
0.5,3.5,3,0.0001,0.2856,0.0474
0.5,4,3,0,0.2492,0.0419
0.5,4.5,3,0,0.2192,0.0363
0.5,5,3,0,0.2021,0.0331
0.5,1,4,0.001,0.992,0.1263
0.5,1.5,4,0.0001,0.6737,0.0829
0.5,2,4,0,0.4977,0.0621
0.5,2.5,4,0,0.4013,0.0506
0.5,3,4,0,0.3316,0.0412
0.5,3.5,4,0,0.2919,0.0363
0.5,4,4,0,0.2533,0.0323
0.5,4.5,4,0,0.2184,0.0272
0.5,5,4,0,0.202,0.0254
0.5,1,5,0,1.0001,0.1007
0.5,1.5,5,0,0.6765,0.0679
0.5,2,5,0,0.4954,0.0485
0.5,2.5,5,0,0.3935,0.0399
0.5,3,5,0,0.3278,0.0324
0.5,3.5,5,0,0.2804,0.028
0.5,4,5,0,0.2491,0.0252
0.5,4.5,5,0,0.222,0.0222
0.5,5,5,0,0.199,0.02
1,1,1,18.7933,19.7838,0.9695
1,1.5,1,1.2284,1.8963,0.6566
1,2,1,0.582,1.0907,0.5104
1,2.5,1,0.2489,0.6403,0.3928
1,3,1,0.161,0.4918,0.3358
1,3.5,1,0.1282,0.4191,0.2957
1,4,1,0.0845,0.3346,0.2514
1,4.5,1,0.0549,0.2785,0.2195
1,5,1,0.0473,0.2451,0.1934
1,1,2,0.3116,1.2928,0.4975
1,1.5,2,0.0763,0.7387,0.3293
1,2,2,0.0319,0.5298,0.2537
1,2.5,2,0.0116,0.413,0.1999
1,3,2,0.0083,0.3416,0.1631
1,3.5,2,0.0064,0.2886,0.1411
1,4,2,0.0037,0.2485,0.1233
1,4.5,2,0.0026,0.2237,0.1099
1,5,2,0.0017,0.2011,0.0987
1,1,3,0.038,1.0279,0.3325
1,1.5,3,0.009,0.6787,0.2235
1,2,3,0.0025,0.4978,0.1653
1,2.5,3,0.0007,0.3942,0.1278
1,3,3,0.0004,0.3386,0.1125
1,3.5,3,0.0005,0.2856,0.0927
1,4,3,0.0002,0.2508,0.0825
1,4.5,3,0.0001,0.2203,0.0751
1,5,3,0.0001,0.2004,0.0692
1,1,4,0.007,1.0023,0.2486
1,1.5,4,0.0009,0.6714,0.171
1,2,4,0.0002,0.4963,0.1248
1,2.5,4,0.0001,0.3863,0.0962
1,3,4,0,0.3399,0.0845
1,3.5,4,0,0.2904,0.0721
1,4,4,0,0.2545,0.0618
1,4.5,4,0,0.2214,0.0544
1,5,4,0,0.201,0.0501
1,1,5,0.0005,0.9981,0.1992
1,1.5,5,0,0.6624,0.1305
1,2,5,0,0.5122,0.1043
1,2.5,5,0,0.3975,0.0785
1,3,5,0,0.3341,0.0663
1,3.5,5,0,0.2843,0.0573
1,4,5,0,0.2461,0.0492
1,4.5,5,0,0.2291,0.0461
1,5,5,0,0.2007,0.0402
1.5,1,1,738.5112,739.5144,0.9999
1.5,1.5,1,29.5884,30.2526,0.97
1.5,2,1,1.6539,2.1611,0.7704
1.5,2.5,1,0.5087,0.9033,0.5838
1.5,3,1,0.317,0.6523,0.5013
1.5,3.5,1,0.1817,0.461,0.4216
1.5,4,1,0.1456,0.3963,0.374
1.5,4.5,1,0.1058,0.324,0.3266
1.5,5,1,0.0769,0.2746,0.2928
1.5,1,2,1.3291,2.3261,0.7422
1.5,1.5,2,0.1999,0.8724,0.5032
1.5,2,2,0.0933,0.6042,0.3906
1.5,2.5,2,0.0353,0.4273,0.285
1.5,3,2,0.0195,0.3518,0.247
1.5,3.5,2,0.016,0.3035,0.2212
1.5,4,2,0.0092,0.2518,0.1809
1.5,4.5,2,0.006,0.2278,0.1691
1.5,5,2,0.0042,0.2055,0.1504
1.5,1,3,0.1445,1.1481,0.5005
1.5,1.5,3,0.0324,0.694,0.3314
1.5,2,3,0.0106,0.5067,0.2522
1.5,2.5,3,0.0038,0.4016,0.1945
1.5,3,3,0.0017,0.34,0.1704
1.5,3.5,3,0.0007,0.2827,0.1424
1.5,4,3,0.0007,0.2479,0.1231
1.5,4.5,3,0.0006,0.2229,0.1124
1.5,5,3,0.0002,0.2015,0.0996
1.5,1,4,0.0284,1.0104,0.3665
1.5,1.5,4,0.0037,0.6701,0.2489
1.5,2,4,0.0005,0.5035,0.1808
1.5,2.5,4,0.0005,0.399,0.1519
1.5,3,4,0.0002,0.3335,0.1262
1.5,3.5,4,0.0001,0.2815,0.1062
1.5,4,4,0,0.2502,0.0942
1.5,4.5,4,0,0.2207,0.0843
1.5,5,4,0,0.2039,0.0772
1.5,1,5,0.0058,0.995,0.292
1.5,1.5,5,0.0005,0.6736,0.1988
1.5,2,5,0.0002,0.4995,0.1473
1.5,2.5,5,0,0.4059,0.1241
1.5,3,5,0,0.3332,0.0998
1.5,3.5,5,0,0.2811,0.0831
1.5,4,5,0,0.255,0.0773
1.5,4.5,5,0,0.2233,0.0669
1.5,5,5,0,0.1973,0.0602
2,1,1,1242.7537,1243.7657,0.9997
2,1.5,1,458.5481,459.2107,0.9991
2,2,1,21.3134,21.815,0.9912
2,2.5,1,1.5164,1.9167,0.7938
2,3,1,0.6311,0.9629,0.6577
2,3.5,1,0.3396,0.625,0.5662
2,4,1,0.2021,0.4429,0.4727
2,4.5,1,0.2007,0.4258,0.4543
2,5,1,0.1289,0.3298,0.4097
2,1,2,31.7889,32.8118,0.9993
2,1.5,2,0.4777,1.1263,0.6522
2,2,2,0.1643,0.6568,0.5017
2,2.5,2,0.0708,0.4708,0.3941
2,3,2,0.0391,0.3685,0.3331
2,3.5,2,0.026,0.3171,0.2877
2,4,2,0.013,0.2588,0.2419
2,4.5,2,0.0117,0.236,0.2228
2,5,2,0.0068,0.2011,0.1914
2,1,3,0.42,1.4191,0.6538
2,1.5,3,0.0662,0.7431,0.4502
2,2,3,0.0202,0.5161,0.3347
2,2.5,3,0.0083,0.4199,0.2741
2,3,3,0.0051,0.3461,0.2265
2,3.5,3,0.0023,0.2802,0.189
2,4,3,0.0013,0.2504,0.1629
2,4.5,3,0.0008,0.2271,0.1495
2,5,3,0.0006,0.202,0.1358
2,1,4,0.085,1.1175,0.5163
2,1.5,4,0.0111,0.6598,0.3162
2,2,4,0.0034,0.51,0.2556
2,2.5,4,0.0006,0.4056,0.2023
2,3,4,0.0004,0.3316,0.1658
2,3.5,4,0.0001,0.2839,0.1431
2,4,4,0,0.2503,0.1228
2,4.5,4,0.0001,0.2198,0.1087
2,5,4,0,0.2024,0.1038
2,1,5,0.0172,1.0371,0.4118
2,1.5,5,0.003,0.6641,0.2688
2,2,5,0.0005,0.5023,0.2031
2,2.5,5,0.0001,0.4015,0.1622
2,3,5,0.0001,0.3351,0.1347
2,3.5,5,0,0.2833,0.1129
2,4,5,0,0.2481,0.0987
2,4.5,5,0,0.2256,0.0913
2,5,5,0,0.2037,0.0819
2.5,1,1,1511.6479,1512.6496,0.9997
2.5,1.5,1,628.5474,629.2061,0.9998
2.5,2,1,236.7334,237.2238,0.9992
2.5,2.5,1,10.7186,11.1157,0.963
2.5,3,1,1.6707,2.006,0.8413
2.5,3.5,1,0.6675,0.9527,0.722
2.5,4,1,0.4076,0.662,0.6185
2.5,4.5,1,0.2728,0.4931,0.5554
2.5,5,1,0.2114,0.4106,0.5069
2.5,1,2,263.4945,264.4961,0.9996
2.5,1.5,2,1.711,2.373,0.8488
2.5,2,2,0.3515,0.8489,0.6412
2.5,2.5,2,0.1457,0.5505,0.5026
2.5,3,2,0.0659,0.394,0.4103
2.5,3.5,2,0.05,0.3391,0.3723
2.5,4,2,0.0298,0.2792,0.3069
2.5,4.5,2,0.0246,0.2471,0.2834
2.5,5,2,0.0138,0.2165,0.2549
2.5,1,3,1.2092,2.2249,0.8406
2.5,1.5,3,0.126,0.7754,0.5287
2.5,2,3,0.0474,0.5447,0.4153
2.5,2.5,3,0.0159,0.4149,0.3359
2.5,3,3,0.0095,0.3438,0.2803
2.5,3.5,3,0.0051,0.2947,0.2398
2.5,4,3,0.0027,0.2515,0.2056
2.5,4.5,3,0.002,0.2239,0.1844
2.5,5,3,0.0013,0.1967,0.164
2.5,1,4,0.2086,1.222,0.6295
2.5,1.5,4,0.0286,0.7017,0.4262
2.5,2,4,0.0082,0.5138,0.318
2.5,2.5,4,0.0032,0.4073,0.2499
2.5,3,4,0.0013,0.3388,0.214
2.5,3.5,4,0.0003,0.2839,0.1817
2.5,4,4,0.0004,0.2512,0.157
2.5,4.5,4,0.0001,0.2209,0.1362
2.5,5,4,0.0002,0.1955,0.1243
2.5,1,5,0.0393,1.0239,0.4893
2.5,1.5,5,0.004,0.6748,0.335
2.5,2,5,0.0012,0.5024,0.2512
2.5,2.5,5,0.0005,0.3945,0.1926
2.5,3,5,0.0001,0.3403,0.1726
2.5,3.5,5,0,0.29,0.1447
2.5,4,5,0,0.2482,0.1238
2.5,4.5,5,0,0.2212,0.1099
2.5,5,5,0,0.202,0.1027
3,1,1,1626.0097,1626.9942,0.9998
3,1.5,1,872.6302,873.3053,1
3,2,1,409.6425,410.1346,1
3,2.5,1,161.4157,161.8176,0.9995
3,3,1,12.153,12.4837,0.9803
3,3.5,1,2.2344,2.5229,0.8883
3,4,1,0.9534,1.2087,0.7746
3,4.5,1,0.4502,0.6769,0.6771
3,5,1,0.3589,0.5573,0.6057
3,1,2,416.3054,417.3178,0.9991
3,1.5,2,16.7771,17.4504,0.9871
3,2,2,0.8015,1.2958,0.7355
3,2.5,2,0.225,0.6314,0.6041
3,3,2,0.116,0.4534,0.5018
3,3.5,2,0.0718,0.3534,0.4251
3,4,2,0.0333,0.2816,0.3672
3,4.5,2,0.0306,0.2539,0.3335
3,5,2,0.017,0.2146,0.2953
3,1,3,26.454,27.4606,0.9961
3,1.5,3,0.2946,0.955,0.6652
3,2,3,0.0711,0.5666,0.4942
3,2.5,3,0.0322,0.4257,0.3925
3,3,3,0.0158,0.3478,0.3343
3,3.5,3,0.0061,0.289,0.2822
3,4,3,0.004,0.2519,0.2511
3,4.5,3,0.0036,0.2272,0.2219
3,5,3,0.0012,0.2011,0.1959
3,1,4,0.4928,1.4823,0.738
3,1.5,4,0.0609,0.7272,0.5057
3,2,4,0.0155,0.5161,0.373
3,2.5,4,0.0056,0.4034,0.3002
3,3,4,0.0038,0.3401,0.2557
3,3.5,4,0.0017,0.2877,0.2171
3,4,4,0.0003,0.2457,0.1825
3,4.5,4,0.0005,0.2238,0.1701
3,5,4,0.0001,0.2035,0.154
3,1,5,0.1262,1.117,0.6002
3,1.5,5,0.0132,0.6936,0.4038
3,2,5,0.0025,0.511,0.3025
3,2.5,5,0.0012,0.4065,0.2381
3,3,5,0.0002,0.3352,0.2041
3,3.5,5,0.0005,0.286,0.1685
3,4,5,0,0.248,0.1473
3,4.5,5,0.0001,0.2239,0.1345
3,5,5,0,0.1992,0.1213
3.5,1,1,1759.3364,1760.3384,0.9997
3.5,1.5,1,969.4265,970.1019,1
3.5,2,1,585.6715,586.1837,0.9998
3.5,2.5,1,283.3779,283.78,0.9991
3.5,3,1,139.6901,140.0294,0.9998
3.5,3.5,1,16.9965,17.281,0.9775
3.5,4,1,1.2345,1.4765,0.8534
3.5,4.5,1,0.9106,1.1337,0.7806
3.5,5,1,0.4569,0.6546,0.6832
3.5,1,2,531.7524,532.7588,0.999
3.5,1.5,2,129.38,130.0416,0.9994
3.5,2,2,1.3248,1.8289,0.8555
3.5,2.5,2,0.3579,0.753,0.6883
3.5,3,2,0.1784,0.5174,0.5987
3.5,3.5,2,0.0972,0.3834,0.5048
3.5,4,2,0.0595,0.3103,0.4423
3.5,4.5,2,0.0406,0.261,0.3895
3.5,5,2,0.0231,0.224,0.3549
3.5,1,3,129.1501,130.1612,0.9992
3.5,1.5,3,0.5413,1.2192,0.7638
3.5,2,3,0.1549,0.6526,0.5869
3.5,2.5,3,0.0445,0.4381,0.4455
3.5,3,3,0.0269,0.3561,0.3899
3.5,3.5,3,0.0139,0.3031,0.3322
3.5,4,3,0.0078,0.2551,0.2886
3.5,4.5,3,0.0049,0.233,0.2634
3.5,5,3,0.0029,0.2027,0.2351
3.5,1,4,1.5923,2.5764,0.8618
3.5,1.5,4,0.0898,0.7711,0.5928
3.5,2,4,0.0242,0.5147,0.4198
3.5,2.5,4,0.0124,0.4153,0.3524
3.5,3,4,0.0031,0.3362,0.2852
3.5,3.5,4,0.0029,0.2905,0.2552
3.5,4,4,0.0012,0.255,0.2205
3.5,4.5,4,0.0004,0.2223,0.1962
3.5,5,4,0.0004,0.2026,0.1786
3.5,1,5,0.1989,1.1982,0.6866
3.5,1.5,5,0.0279,0.6867,0.4662
3.5,2,5,0.0056,0.5141,0.3539
3.5,2.5,5,0.0017,0.4034,0.2775
3.5,3,5,0.0004,0.3342,0.2384
3.5,3.5,5,0.0003,0.2852,0.197
3.5,4,5,0.0002,0.2495,0.1716
3.5,4.5,5,0.0001,0.2238,0.1564
3.5,5,5,0.0001,0.1988,0.1402
4,1,1,1890.4913,1891.4883,0.9999
4,1.5,1,1062.6994,1063.3663,1
4,2,1,622.1582,622.66,0.9995
4,2.5,1,386.4134,386.8161,0.9996
4,3,1,199.3348,199.6717,0.9995
4,3.5,1,62.2044,62.4848,0.9991
4,4,1,16.4873,16.7407,0.9941
4,4.5,1,2.2796,2.5082,0.9266
4,5,1,0.8453,1.0446,0.8269
4,1,2,607.6699,608.6519,0.9998
4,1.5,2,198.6359,199.3025,0.9986
4,2,2,5.9421,6.4361,0.975
4,2.5,2,0.6012,0.9919,0.7776
4,3,2,0.2371,0.5682,0.6688
4,3.5,2,0.1564,0.4455,0.6036
4,4,2,0.0762,0.3206,0.494
4,4.5,2,0.0611,0.2853,0.4611
4,5,2,0.0398,0.2416,0.408
4,1,3,211.5603,212.55,0.9982
4,1.5,3,1.5,2.1664,0.8903
4,2,3,0.2075,0.7089,0.6719
4,2.5,3,0.0903,0.4912,0.5392
4,3,3,0.0385,0.3724,0.4392
4,3.5,3,0.0227,0.3034,0.3788
4,4,3,0.0089,0.2554,0.3203
4,4.5,3,0.0063,0.2344,0.2983
4,5,3,0.0052,0.2056,0.2748
4,1,4,11.628,12.6226,0.9867
4,1.5,4,0.1824,0.8334,0.6523
4,2,4,0.0427,0.5461,0.4978
4,2.5,4,0.0142,0.4051,0.3813
4,3,4,0.0063,0.3444,0.3279
4,3.5,4,0.0017,0.2827,0.2751
4,4,4,0.0011,0.2513,0.254
4,4.5,4,0.0007,0.2222,0.2211
4,5,4,0.0005,0.1982,0.2013
4,1,5,0.4938,1.4827,0.7992
4,1.5,5,0.0632,0.742,0.5512
4,2,5,0.0092,0.5009,0.3951
4,2.5,5,0.0031,0.4042,0.3207
4,3,5,0.0012,0.3355,0.2751
4,3.5,5,0.0008,0.2808,0.2236
4,4,5,0.0003,0.2506,0.2032
4,4.5,5,0.0002,0.2211,0.1779
4,5,5,0.0001,0.1979,0.1547
4.5,1,1,1948.3477,1949.3404,1
4.5,1.5,1,1054.2284,1054.8795,0.9998
4.5,2,1,707.3723,707.872,0.9999
4.5,2.5,1,426.5282,426.9288,0.9998
4.5,3,1,257.5743,257.9049,0.9999
4.5,3.5,1,173.4408,173.7294,0.9997
4.5,4,1,60.2507,60.496,0.998
4.5,4.5,1,11.2987,11.5176,0.9772
4.5,5,1,1.7183,1.921,0.9134
4.5,1,2,667.8483,668.8421,0.9997
4.5,1.5,2,306.5694,307.2437,0.9992
4.5,2,2,58.5309,59.0162,0.9981
4.5,2.5,2,2.0759,2.4778,0.9057
4.5,3,2,0.4165,0.7533,0.7365
4.5,3.5,2,0.1895,0.4727,0.6455
4.5,4,2,0.1123,0.362,0.5578
4.5,4.5,2,0.0721,0.2934,0.4948
4.5,5,2,0.0528,0.2544,0.4505
4.5,1,3,281.6042,282.6173,0.9988
4.5,1.5,3,8.7818,9.4575,0.9841
4.5,2,3,0.4108,0.9152,0.7654
4.5,2.5,3,0.1198,0.5224,0.5912
4.5,3,3,0.0451,0.3757,0.4894
4.5,3.5,3,0.0233,0.3029,0.4272
4.5,4,3,0.0104,0.2573,0.3621
4.5,4.5,3,0.0105,0.2301,0.3327
4.5,5,3,0.0061,0.2056,0.3085
4.5,1,4,59.7769,60.7752,0.996
4.5,1.5,4,0.3322,1.0034,0.7566
4.5,2,4,0.0663,0.5612,0.5547
4.5,2.5,4,0.0266,0.4321,0.4609
4.5,3,4,0.011,0.3413,0.3719
4.5,3.5,4,0.0043,0.2912,0.3244
4.5,4,4,0.0022,0.2544,0.2842
4.5,4.5,4,0.0011,0.2252,0.2555
4.5,5,4,0.0013,0.2028,0.222
4.5,1,5,1.1578,2.1463,0.8837
4.5,1.5,5,0.0874,0.7603,0.5999
4.5,2,5,0.0144,0.5152,0.4504
4.5,2.5,5,0.004,0.4111,0.3674
4.5,3,5,0.0016,0.3381,0.2953
4.5,3.5,5,0.0006,0.2815,0.256
4.5,4,5,0.0009,0.2522,0.2228
4.5,4.5,5,0.0003,0.2225,0.1964
4.5,5,5,0,0.1958,0.1755
5,1,1,2025.7522,2026.7591,1
5,1.5,1,1150.0843,1150.7514,0.9999
5,2,1,727.7878,728.2895,0.9998
5,2.5,1,506.4858,506.8899,0.9997
5,3,1,299.3973,299.7229,0.9996
5,3.5,1,197.1133,197.3972,1
5,4,1,148.3385,148.5933,0.9998
5,4.5,1,56.3053,56.5284,0.9993
5,5,1,10.8228,11.022,0.9825
5,1,2,755.8964,756.8969,0.9997
5,1.5,2,339.5028,340.1779,0.9994
5,2,2,136.6181,137.1233,0.9996
5,2.5,2,6.4964,6.8913,0.9722
5,3,2,0.5868,0.9192,0.8147
5,3.5,2,0.297,0.5825,0.7157
5,4,2,0.1691,0.4222,0.6362
5,4.5,2,0.1131,0.3353,0.5658
5,5,2,0.0663,0.2631,0.496
5,1,3,322.6238,323.6164,0.9991
5,1.5,3,47.9737,48.632,0.9969
5,2,3,0.6689,1.1599,0.8224
5,2.5,3,0.1857,0.5889,0.678
5,3,3,0.0877,0.421,0.5597
5,3.5,3,0.0375,0.329,0.4822
5,4,3,0.0181,0.2653,0.4095
5,4.5,3,0.0137,0.2411,0.3782
5,5,3,0.0086,0.2066,0.3266
5,1,4,132.0465,133.0538,0.9974
5,1.5,4,0.6847,1.3503,0.8423
5,2,4,0.0926,0.5885,0.6303
5,2.5,4,0.0296,0.4289,0.4835
5,3,4,0.0136,0.3543,0.4197
5,3.5,4,0.0082,0.2966,0.3631
5,4,4,0.0036,0.2514,0.3116
5,4.5,4,0.0018,0.2299,0.2789
5,5,4,0.001,0.2011,0.2545
5,1,5,3.5824,4.5866,0.96
5,1.5,5,0.0988,0.7585,0.6469
5,2,5,0.0234,0.5184,0.5008
5,2.5,5,0.0086,0.4112,0.4034
5,3,5,0.0036,0.3427,0.3378
5,3.5,5,0.0016,0.2904,0.2866
5,4,5,0.0006,0.2536,0.2523
5,4.5,5,0.0003,0.2252,0.2233
5,5,5,0.0003,0.2012,0.1996